"FileName","FullPath","Pages"
"2019.09.09 - Claim Acknowledgment Letter.pdf","C:\Users\chadhage\Downloads\villanova\2019.09.09 - Claim Acknowledgment Letter.pdf","1"
"2019.09.09 - Claim Opening Email.pdf","C:\Users\chadhage\Downloads\villanova\2019.09.09 - Claim Opening Email.pdf","1"
"2019.10.16 - Reservation of Rights Letter.pdf","C:\Users\chadhage\Downloads\villanova\2019.10.16 - Reservation of Rights Letter.pdf","5"
"2019.11.05 - C3 Adjusters LOR Email.pdf","C:\Users\chadhage\Downloads\villanova\2019.11.05 - C3 Adjusters LOR Email.pdf","2"
"2019.11.06 - Acknowledgment of LOR and Request for Docs.pdf","C:\Users\chadhage\Downloads\villanova\2019.11.06 - Acknowledgment of LOR and Request for Docs.pdf","5"
"2020.01.06 - Merlin providing SPOL and estimate from C3.pdf","C:\Users\chadhage\Downloads\villanova\2020.01.06 - Merlin providing SPOL and estimate from C3.pdf","1"
"2020.01.16 - AmCap Rejection of SPOL and ROR.pdf","C:\Users\chadhage\Downloads\villanova\2020.01.16 - AmCap Rejection of SPOL and ROR.pdf","4"
"2020.04.09 - Appraisal Demand Response.PDF","C:\Users\chadhage\Downloads\villanova\2020.04.09 - Appraisal Demand Response.PDF","3"
"2020.07.03 - Additional Document Request.PDF","C:\Users\chadhage\Downloads\villanova\2020.07.03 - Additional Document Request.PDF","3"
"ACA Coverage Info.pdf","C:\Users\chadhage\Downloads\villanova\ACA Coverage Info.pdf","6"
"ACA Decs Page (2).pdf","C:\Users\chadhage\Downloads\villanova\ACA Decs Page (2).pdf","8"
"ACA Decs Page (3).pdf","C:\Users\chadhage\Downloads\villanova\ACA Decs Page (3).pdf","8"
"ACA Decs Page.pdf","C:\Users\chadhage\Downloads\villanova\ACA Decs Page.pdf","16"
"ACA Endorsement.pdf","C:\Users\chadhage\Downloads\villanova\ACA Endorsement.pdf","16"
"AmCap Ans to Rogs (verified).PDF","C:\Users\chadhage\Downloads\villanova\AmCap Ans to Rogs (verified).PDF","16"
"AmCap Claim Ack Letter.pdf","C:\Users\chadhage\Downloads\villanova\AmCap Claim Ack Letter.pdf","1"
"AMCAP Coverage Decision Letter.pdf","C:\Users\chadhage\Downloads\villanova\AMCAP Coverage Decision Letter.pdf","9"
"AmCap Coverage Info.pdf","C:\Users\chadhage\Downloads\villanova\AmCap Coverage Info.pdf","6"
"AmCap Decs Page.pdf","C:\Users\chadhage\Downloads\villanova\AmCap Decs Page.pdf","10"
"AMCAP Email to Opposing Counsel.pdf","C:\Users\chadhage\Downloads\villanova\AMCAP Email to Opposing Counsel.pdf","1"
"AmCap Insurance Policy (2017).pdf","C:\Users\chadhage\Downloads\villanova\AmCap Insurance Policy (2017).pdf","143"
"AmCap Notarized Verification Page - Rogs.PDF","C:\Users\chadhage\Downloads\villanova\AmCap Notarized Verification Page - Rogs.PDF","1"
"AmCap RRTP.PDF","C:\Users\chadhage\Downloads\villanova\AmCap RRTP.PDF","9"
"AmCap to Villanova (Re. Ins. Policy and Inv).pdf","C:\Users\chadhage\Downloads\villanova\AmCap to Villanova (Re. Ins. Policy and Inv).pdf","1"
"AP Distribution Report Repairs 2017-2019.pdf","C:\Users\chadhage\Downloads\villanova\AP Distribution Report Repairs 2017-2019.pdf","9"
"Appraisal Award.pdf","C:\Users\chadhage\Downloads\villanova\Appraisal Award.pdf","8"
"Association Declarations and By-Laws.pdf","C:\Users\chadhage\Downloads\villanova\Association Declarations and By-Laws.pdf","101"
"Attic interior moisture readings produced by Plaintiff. unclear by who.pdf","C:\Users\chadhage\Downloads\villanova\Attic interior moisture readings produced by Plaintiff. unclear by who.pdf","227"
"C3 Group Inc Estimate Photographs and Sketches.pdf","C:\Users\chadhage\Downloads\villanova\C3 Group Inc Estimate Photographs and Sketches.pdf","336"
"C3 POL (02968040).PDF","C:\Users\chadhage\Downloads\villanova\C3 POL (02968040).PDF","336"
"Change in P's Attorney (Merlin to Kubiak).pdf","C:\Users\chadhage\Downloads\villanova\Change in P's Attorney (Merlin to Kubiak).pdf","1"
"Claim Ack Letter (Assured to AmCap).pdf","C:\Users\chadhage\Downloads\villanova\Claim Ack Letter (Assured to AmCap).pdf","4"
